condition,label,concurrency,summary_file,successful_runs,failed_runs,ttft_p50_ms,ttft_p95_ms,e2e_p50_ms,e2e_p95_ms,tpot_p50_ms,tpot_p95_ms,rps,tps,gpu_avg,gpu_p95,waiting_avg,waiting_max,wait_active_pct,waiting_capacity_avg,waiting_deferred_avg,kv_max_pct,power_avg_w,active_samples,draft_rounds,draft_tokens,accepted_tokens,K_observed,acceptance_pct,mean_acceptance_length
A,default_vllm_formal,1,results\summary\default_vllm_formal_c1_20260822_184623_382007.json,64,0,178.10844949963212,482.95622799923876,680.5493054989711,986.6273009993165,6.610894861846885,6.677241657885851,1.3542319381928385,104.27585924084856,74.82317073170732,100.0,0.0,0.0,0.0,0.0,0.0,0.10175897659543409,341.68040243902436,164,,,,,,
A,default_vllm_formal,4,results\summary\default_vllm_formal_c4_20260822_184713_814761.json,64,0,292.6277630003824,641.2371750011516,816.1056339995412,1148.7047500013432,6.705959342106756,7.214125605275369,4.688625310367485,361.0241488982963,74.92727272727272,100.0,0.0,0.0,0.0,0.0,0.0,0.40703590638173637,387.6799454545455,55,,,,,,
A,default_vllm_formal,16,results\summary\default_vllm_formal_c16_20260822_184730_684808.json,160,0,371.94619349975255,706.2083710006846,925.6597740013603,1302.781110000069,7.322928335545504,8.264528355252159,16.455219781870092,1267.0519232039971,82.0952380952381,100.0,0.0,0.0,0.0,0.0,0.0,1.4100886756795994,432.1270238095238,42,,,,,,
A,default_vllm_formal_rerun1,4,results\summary\default_vllm_formal_rerun1_c4_20260824_130054_428431.json,64,0,272.2193959999686,443.52627299997494,778.6318910000318,924.1859119999845,6.667443348683534,7.379853749999879,4.8223975805942105,371.32461370575425,64.12,100.0,0.0,0.0,0.0,0.0,0.0,0.36342491641226937,345.30989999999997,50,,,,,,
A,default_vllm_formal_rerun1,16,results\summary\default_vllm_formal_rerun1_c16_20260824_130111_378331.json,160,0,354.50847549998343,722.9048919999741,931.0833624999759,1302.2871470000155,7.66739857894699,8.481640434210572,16.433103141187377,1265.348941871428,90.0,100.0,0.0,0.0,0.0,0.0,0.0,1.3374036923971544,427.30302173913043,46,,,,,,
A,default_vllm_formal_rerun2,4,results\summary\default_vllm_formal_rerun2_c4_20260824_130400_636665.json,64,0,213.45610550008587,277.28320000005624,742.3154929999782,795.6243359999462,6.7868894736845595,7.321040618421648,5.350510249386749,411.98928920277973,72.54901960784314,100.0,0.0,0.0,0.0,0.0,0.0,0.36342491641226937,384.97898039215687,51,,,,,,
A,default_vllm_formal_rerun2,16,results\summary\default_vllm_formal_rerun2_c16_20260824_130415_551519.json,160,0,324.7222539999939,481.230523000022,862.429020499917,986.4177030001429,6.997841006578579,7.8790045131576765,18.30393087650865,1409.4026774911663,60.529411764705884,100.0,0.0,0.0,0.0,0.0,0.0,1.5263846489315336,394.2099117647059,34,,,,,,
B,matched_baseline_formal,1,results\summary\matched_baseline_formal_c1_20260817_171846_234755.json,64,0,334.7508540027775,689.1430839896202,863.2566669984953,1405.8229170041159,6.935988210515413,11.24636786813713,1.0902210011824809,83.94701709105102,54.76969696969697,87.0,0.0,0.0,0.0,0.0,0.0,0.19006244909041126,220.1006,165,,,,,,
B,matched_baseline_formal,2,results\summary\matched_baseline_formal_c2_20260817_171948_176660.json,64,0,344.25458349869587,689.1944580129348,891.6754794918234,1227.7896250016056,7.04623849340255,8.410932013296252,2.0866461302924844,160.6717520325213,66.26612903225806,86.0,0.0,0.0,0.0,0.0,0.0,0.3801248981808336,291.4630564516129,124,,,,,,
B,matched_baseline_formal,4,results\summary\matched_baseline_formal_c4_20260817_172022_121738.json,64,0,361.0226460004924,534.6870420034975,947.2834375046659,1695.7531250081956,7.391693802721995,17.058708881545737,3.923355893956985,302.0984038346878,47.40350877192982,87.0,0.0,0.0,0.0,0.0,0.0,0.7602497963616672,292.27531578947367,57,,,,,,
