timestamp_unix_s,elapsed_s,gpu_util_pct,memory_used_mib,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,vllm_running,vllm_waiting,vllm_waiting_capacity,vllm_waiting_deferred,vllm_kv_cache_usage,vllm_preemptions_total
1787395633.548939,0.018761932849884033,0,28207.9375,288.698,2925,13801,48,0.0,0.0,0.0,0.0,0.0,0.0
1787395633.7429063,0.21272971108555794,0,28207.9375,288.698,2925,13801,48,0.0,0.0,0.0,0.0,0.0,0.0
1787395633.942533,0.41235604882240295,0,28207.9375,288.698,2925,13801,48,0.0,0.0,0.0,0.0,0.0,0.0
1787395634.1467986,0.616621620953083,0,28207.9375,288.698,2925,13801,48,2.0,0.0,0.0,0.0,0.0008722197993894509,0.0
1787395634.3440058,0.8138296566903591,0,28207.9375,119.526,2917,13801,49,4.0,0.0,0.0,0.0,0.002325919465038573,0.0
1787395634.5466564,1.016479417681694,0,28207.9375,119.526,2917,13801,49,4.0,0.0,0.0,0.0,0.0033435092309929137,0.0
1787395634.7430027,1.2128255553543568,100,28207.9375,290.569,2895,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1787395634.9431045,1.4129275381565094,100,28207.9375,290.569,2895,13801,56,4.0,0.0,0.0,0.0,0.001162959732519231,0.0
1787395635.1454146,1.6152378693223,100,28207.9375,290.569,2895,13801,56,4.0,0.0,0.0,0.0,0.002325919465038573,0.0
1787395635.3434746,1.8132977932691574,100,28207.9375,382.232,2895,13801,55,4.0,0.0,0.0,0.0,0.0034888791975578037,0.0
1787395635.5433586,2.0131817385554314,100,28207.9375,382.232,2895,13801,55,0.0,0.0,0.0,0.0,0.0,0.0
1787395635.7431252,2.2129482850432396,0,28207.9375,320.241,2917,13801,50,0.0,0.0,0.0,0.0,0.0,0.0
1787395635.946879,2.416702061891556,0,28207.9375,320.241,2917,13801,50,0.0,0.0,0.0,0.0,0.0,0.0
1787395636.144627,2.614450231194496,0,28207.9375,320.241,2917,13801,50,4.0,0.0,0.0,0.0,0.0017444395987789019,0.0
1787395636.3447208,2.8145441487431526,0,28207.9375,253.955,2902,13801,53,4.0,0.0,0.0,0.0,0.0029073993312981328,0.0
1787395636.543467,3.0132902674376965,0,28207.9375,253.955,2902,13801,53,0.0,0.0,0.0,0.0,0.0,0.0
1787395636.7438602,3.213683221489191,9,28207.9375,288.955,2902,13801,52,0.0,0.0,0.0,0.0,0.0,0.0
1787395636.9444911,3.4143144972622395,9,28207.9375,288.955,2902,13801,52,4.0,0.0,0.0,0.0,0.0017444395987789019,0.0
1787395637.1443388,3.6141618341207504,9,28207.9375,288.955,2902,13801,52,4.0,0.0,0.0,0.0,0.0029073993312981328,0.0
1787395637.3494213,3.8192446753382683,9,28207.9375,349.412,2902,13801,56,4.0,0.0,0.0,0.0,0.004070359063817364,0.0
1787395637.5440712,4.013894498348236,9,28207.9375,349.412,2902,13801,56,0.0,0.0,0.0,0.0,0.0,0.0
1787395637.7457995,4.215622704476118,5,28207.9375,289.98,2925,13801,49,4.0,0.0,0.0,0.0,0.0017444395987789019,0.0
1787395637.9450533,4.414876624941826,5,28207.9375,289.98,2925,13801,49,4.0,0.0,0.0,0.0,0.0029073993312981328,0.0
1787395638.1455712,4.615394465625286,5,28207.9375,289.98,2925,13801,49,4.0,0.0,0.0,0.0,0.004070359063817364,0.0
